Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,car_age,price_per_km,mileage_per_year,engine_size_category,ID
Porsche,718 Cayman,4.0,Petrol,2004,119662,14426,22,0.12,119662,Large,3410
Toyota,Prius,1.0,Hybrid,2004,42803,11447,22,0.27,42803,Small,3411
Ford,Fiesta,1.0,Petrol,1988,187561,734,38,0.0,187561,Small,3412
Toyota,RAV4,1.8,Hybrid,2010,26103,29695,16,1.14,26103,Small,3413
Ford,Focus,2.0,Petrol,2013,23748,26459,13,1.11,23748,Small,3414
Ford,Fiesta,1.4,Petrol,2004,131412,4024,22,0.03,131412,Small,3415
VW,Polo,2.0,Petrol,1995,125479,2838,31,0.02,125479,Small,3416
Ford,Fiesta,1.4,Petrol,2006,107004,5545,20,0.05,107004,Small,3417
VW,Polo,1.0,Petrol,1995,144671,1723,31,0.01,144671,Small,3418
Toyota,RAV4,2.4,Hybrid,2008,56295,25026,18,0.44,56295,Medium,3419
Toyota,Yaris,1.2,Hybrid,1995,34599,5559,31,0.16,34599,Small,3420
Ford,Fiesta,1.4,Petrol,2011,72813,9867,15,0.14,72813,Small,3421
Ford,Fiesta,1.4,Petrol,2011,41748,12034,15,0.29,41748,Small,3422
VW,Polo,1.6,Petrol,2020,11252,28589,6,2.54,11252,Small,3423
Porsche,911,3.5,Petrol,2000,157266,13499,26,0.09,157266,Large,3424
Toyota,RAV4,2.2,Petrol,1998,137395,5706,28,0.04,137395,Medium,3425
Porsche,Cayenne,4.0,Petrol,2010,53146,40646,16,0.76,53146,Large,3426
Ford,Focus,1.8,Petrol,2013,59401,20251,13,0.34,59401,Small,3427
BMW,M5,4.4,Petrol,1997,115910,14559,29,0.13,115910,Large,3428
Toyota,Prius,1.0,Hybrid,2002,205959,2871,24,0.01,205959,Small,3429
Ford,Focus,2.0,Petrol,1992,194081,1858,34,0.01,194081,Small,3430
BMW,X3,2.0,Diesel,1990,228566,1454,36,0.01,228566,Small,3431
Toyota,Yaris,1.4,Petrol,2003,168499,3220,23,0.02,168499,Small,3432
Ford,Focus,1.6,Hybrid,2008,57659,16601,18,0.29,57659,Small,3433
Ford,Mondeo,1.8,Diesel,2000,86237,7390,26,0.09,86237,Small,3434
VW,Passat,1.8,Diesel,1998,145457,4357,28,0.03,145457,Small,3435
Toyota,Prius,1.8,Hybrid,2018,45088,38517,8,0.85,45088,Small,3436
Porsche,Cayenne,3.0,Diesel,2006,8500,36613,20,4.31,8500,Medium,3437
BMW,Z4,2.2,Petrol,2000,120332,6741,26,0.06,120332,Medium,3438
Ford,Mondeo,2.0,Diesel,2009,95536,13285,17,0.14,95536,Small,3439
Toyota,RAV4,2.0,Hybrid,2000,154668,6484,26,0.04,154668,Small,3440
Ford,Focus,1.0,Petrol,2007,126362,6267,19,0.05,126362,Small,3441
Ford,Mondeo,2.0,Diesel,1997,117678,5063,29,0.04,117678,Small,3442
Toyota,RAV4,2.4,Petrol,2000,145425,6384,26,0.04,145425,Medium,3443
Toyota,Yaris,1.0,Hybrid,1994,248230,883,32,0.0,248230,Small,3444
Toyota,Prius,1.0,Hybrid,1990,183403,1571,36,0.01,183403,Small,3445
VW,Golf,1.8,Petrol,2000,161531,3333,26,0.02,161531,Small,3446
Toyota,Yaris,1.4,Petrol,2011,102953,9234,15,0.09,102953,Small,3447
Porsche,911,2.2,Petrol,2009,107551,28866,17,0.27,107551,Medium,3448
VW,Polo,1.2,Petrol,2016,43872,15754,10,0.36,43872,Small,3449
Ford,Focus,1.4,Diesel,1997,181901,2531,29,0.01,181901,Small,3450
BMW,M5,5.0,Petrol,2002,117615,21380,24,0.18,117615,Large,3451
Toyota,Prius,1.8,Hybrid,1997,123895,5482,29,0.04,123895,Small,3452
Toyota,RAV4,1.8,Hybrid,2007,123234,12615,19,0.1,123234,Small,3453
VW,Golf,2.0,Diesel,1988,155924,1736,38,0.01,155924,Small,3454
Toyota,Yaris,1.0,Hybrid,2021,16765,31758,5,1.89,16765,Small,3455
VW,Passat,2.0,Diesel,2003,133711,7043,23,0.05,133711,Small,3456
BMW,X3,2.0,Diesel,1994,250866,1548,32,0.01,250866,Small,3457
Ford,Fiesta,1.0,Petrol,2013,7837,14059,13,1.79,7837,Small,3458
BMW,Z4,2.2,Petrol,1987,213115,1302,39,0.01,213115,Medium,3459
Toyota,Prius,1.8,Hybrid,2021,16431,55491,5,3.38,16431,Small,3460
VW,Golf,1.4,Diesel,1996,158693,2421,30,0.02,158693,Small,3461
VW,Polo,1.2,Diesel,1985,245418,422,41,0.0,245418,Small,3462
VW,Polo,2.0,Petrol,1994,246013,941,32,0.0,246013,Small,3463
Toyota,Prius,1.0,Hybrid,1999,118288,4875,27,0.04,118288,Small,3464
Toyota,RAV4,2.4,Hybrid,1995,124554,6478,31,0.05,124554,Medium,3465
Toyota,RAV4,2.4,Hybrid,2001,123132,9772,25,0.08,123132,Medium,3466
VW,Golf,1.4,Petrol,1991,198390,1176,35,0.01,198390,Small,3467
Ford,Mondeo,1.6,Diesel,2017,20246,32777,9,1.62,20246,Small,3468
Ford,Fiesta,1.0,Hybrid,1991,287300,433,35,0.0,287300,Small,3469
Ford,Fiesta,1.4,Petrol,2004,179340,2710,22,0.02,179340,Small,3470
BMW,Z4,2.0,Petrol,2013,30757,28062,13,0.91,30757,Small,3471
Ford,Fiesta,1.0,Petrol,2016,43996,14002,10,0.32,43996,Small,3472
Ford,Fiesta,1.2,Hybrid,1998,185125,1920,28,0.01,185125,Small,3473
Ford,Focus,1.0,Petrol,2009,97557,8897,17,0.09,97557,Small,3474
Toyota,RAV4,2.4,Hybrid,1992,254327,1729,34,0.01,254327,Medium,3475
VW,Polo,1.2,Petrol,2003,138063,3393,23,0.02,138063,Small,3476
Toyota,Prius,1.8,Hybrid,1999,76584,8851,27,0.12,76584,Small,3477
Ford,Fiesta,1.2,Petrol,2002,87921,4516,24,0.05,87921,Small,3478
Ford,Fiesta,1.0,Petrol,2009,63339,7772,17,0.12,63339,Small,3479
Toyota,Yaris,1.2,Hybrid,2013,46358,17199,13,0.37,46358,Small,3480
Ford,Fiesta,1.0,Diesel,2013,80248,9510,13,0.12,80248,Small,3481
Porsche,911,2.2,Petrol,1987,144342,5001,39,0.03,144342,Medium,3482
BMW,X3,3.0,Diesel,2000,236569,3226,26,0.01,236569,Medium,3483
Toyota,RAV4,2.2,Hybrid,1996,146883,5551,30,0.04,146883,Medium,3484
Toyota,Yaris,1.4,Petrol,1997,196721,1692,29,0.01,196721,Small,3485
Toyota,RAV4,2.2,Petrol,2009,103107,15462,17,0.15,103107,Medium,3486
Porsche,Cayenne,3.5,Diesel,2015,24372,66130,11,2.71,24372,Large,3487
BMW,M5,4.4,Petrol,2006,135326,22808,20,0.17,135326,Large,3488
Porsche,Cayenne,4.0,Petrol,2021,10312,108416,5,10.51,10312,Large,3489
Ford,Focus,1.8,Diesel,1992,211681,1584,34,0.01,211681,Small,3490
Ford,Fiesta,1.4,Petrol,2015,47274,15191,11,0.32,47274,Small,3491
Toyota,RAV4,2.4,Hybrid,2019,33033,60045,7,1.82,33033,Medium,3492
Toyota,Prius,1.4,Hybrid,2005,97990,10013,21,0.1,97990,Small,3493
BMW,Z4,3.0,Petrol,2015,77844,29164,11,0.37,77844,Medium,3494
VW,Passat,2.0,Diesel,2010,81158,16609,16,0.2,81158,Small,3495
Ford,Focus,1.6,Petrol,1985,262003,563,41,0.0,262003,Small,3496
BMW,X3,2.4,Diesel,1997,191390,3538,29,0.02,191390,Medium,3497
VW,Passat,1.4,Petrol,2015,59836,21303,11,0.36,59836,Small,3498
Toyota,RAV4,2.2,Hybrid,2018,14258,59730,8,4.19,14258,Medium,3499
Ford,Mondeo,1.4,Diesel,1991,154757,2114,35,0.01,154757,Small,3500
VW,Passat,1.6,Diesel,1999,135889,4742,27,0.03,135889,Small,3501
Toyota,Yaris,1.0,Hybrid,2009,63768,10768,17,0.17,63768,Small,3502
Ford,Fiesta,1.2,Petrol,2013,62026,11211,13,0.18,62026,Small,3503
Toyota,RAV4,2.0,Hybrid,1995,152620,4725,31,0.03,152620,Small,3504
Ford,Focus,1.6,Petrol,2015,31036,25944,11,0.84,31036,Small,3505
Ford,Mondeo,1.6,Petrol,1995,183450,2205,31,0.01,183450,Small,3506
BMW,X3,3.0,Diesel,2012,67864,28157,14,0.41,67864,Medium,3507
Ford,Focus,2.0,Petrol,2016,33801,30513,10,0.9,33801,Small,3508
Ford,Fiesta,1.2,Petrol,1992,193384,998,34,0.01,193384,Small,3509
Toyota,RAV4,1.8,Hybrid,2016,41135,40581,10,0.99,41135,Small,3510
Porsche,718 Cayman,4.0,Petrol,2020,18392,82031,6,4.46,18392,Large,3511
VW,Polo,1.2,Petrol,1991,133485,1581,35,0.01,133485,Small,3512
BMW,X3,3.0,Diesel,2016,38708,44174,10,1.14,38708,Medium,3513
VW,Polo,1.4,Petrol,1995,152741,1909,31,0.01,152741,Small,3514
BMW,X3,2.4,Diesel,2015,66889,30960,11,0.46,66889,Medium,3515
Ford,Mondeo,2.0,Diesel,2008,112327,10978,18,0.1,112327,Small,3516
VW,Polo,2.0,Petrol,2014,43810,17807,12,0.41,43810,Small,3517
VW,Golf,1.6,Diesel,1996,124522,3406,30,0.03,124522,Small,3518
Ford,Focus,1.4,Petrol,1987,18000,4037,39,0.22,18000,Small,3519
Ford,Focus,2.0,Petrol,1990,151923,2325,36,0.02,151923,Small,3520
Toyota,RAV4,1.8,Hybrid,2009,68423,21408,17,0.31,68423,Small,3521
Ford,Focus,1.0,Petrol,1990,126855,2010,36,0.02,126855,Small,3522
Ford,Fiesta,1.4,Diesel,2002,142068,3397,24,0.02,142068,Small,3523
Toyota,Prius,1.4,Hybrid,2010,132597,10744,16,0.08,132597,Small,3524
Ford,Focus,1.4,Petrol,1985,315674,316,41,0.0,315674,Small,3525
BMW,Z4,3.0,Petrol,2000,131670,7207,26,0.05,131670,Medium,3526
VW,Golf,1.6,Petrol,2007,93326,8530,19,0.09,93326,Small,3527
VW,Polo,1.0,Petrol,2007,141924,3921,19,0.03,141924,Small,3528
BMW,Z4,3.0,Petrol,1986,285750,728,40,0.0,285750,Medium,3529
Ford,Focus,1.6,Petrol,1995,140073,3196,31,0.02,140073,Small,3530
Toyota,RAV4,2.4,Hybrid,2014,50331,38765,12,0.77,50331,Medium,3531
VW,Passat,1.8,Diesel,1999,182836,3406,27,0.02,182836,Small,3532
VW,Golf,2.0,Petrol,2017,3000,32412,9,10.8,3000,Small,3533
Ford,Focus,1.0,Diesel,2018,39860,24975,8,0.63,39860,Small,3534
VW,Golf,1.2,Diesel,2002,101151,5251,24,0.05,101151,Small,3535
Toyota,RAV4,2.4,Hybrid,2006,121870,13772,20,0.11,121870,Medium,3536
BMW,X3,2.0,Diesel,2009,96745,15401,17,0.16,96745,Small,3537
VW,Passat,1.4,Petrol,2002,66000,8602,24,0.13,66000,Small,3538
Ford,Fiesta,1.4,Petrol,2014,67556,12482,12,0.18,67556,Small,3539
Ford,Mondeo,1.8,Petrol,2005,86945,9774,21,0.11,86945,Small,3540
Toyota,Yaris,1.4,Hybrid,2018,37467,27356,8,0.73,37467,Small,3541
Porsche,Cayenne,3.5,Petrol,2021,3484,105060,5,30.15,3484,Large,3542
BMW,Z4,2.2,Petrol,1998,191989,3267,28,0.02,191989,Medium,3543
Toyota,RAV4,2.4,Hybrid,2008,74313,22230,18,0.3,74313,Medium,3544
BMW,M5,5.0,Petrol,1994,161690,8812,32,0.05,161690,Large,3545
Ford,Focus,1.4,Petrol,2015,28952,24561,11,0.85,28952,Small,3546
Ford,Focus,2.0,Diesel,2011,99891,14842,15,0.15,99891,Small,3547
VW,Polo,1.2,Petrol,2008,30626,9996,18,0.33,30626,Small,3548
Ford,Mondeo,1.6,Hybrid,2000,72319,8764,26,0.12,72319,Small,3549
BMW,X3,2.0,Diesel,1985,292571,574,41,0.0,292571,Small,3550
Ford,Fiesta,1.2,Petrol,2012,28142,12899,14,0.46,28142,Small,3551
Ford,Mondeo,1.8,Diesel,2008,98167,11567,18,0.12,98167,Small,3552
Ford,Mondeo,2.0,Diesel,1994,130974,3738,32,0.03,130974,Small,3553
Toyota,Yaris,1.2,Petrol,2012,84859,10408,14,0.12,84859,Small,3554
Toyota,RAV4,2.2,Hybrid,1995,311342,1181,31,0.0,311342,Medium,3555
Ford,Mondeo,1.6,Diesel,2003,86662,8485,23,0.1,86662,Small,3556
Toyota,RAV4,1.8,Hybrid,2013,50243,31423,13,0.63,50243,Small,3557
Ford,Focus,1.4,Petrol,1998,171338,2820,28,0.02,171338,Small,3558
BMW,Z4,2.4,Petrol,2015,31247,35026,11,1.12,31247,Medium,3559
Ford,Focus,1.8,Petrol,2018,43839,31155,8,0.71,43839,Small,3560
VW,Golf,1.2,Diesel,2002,80490,6084,24,0.08,80490,Small,3561
VW,Passat,1.8,Diesel,2000,121795,6005,26,0.05,121795,Small,3562
Toyota,RAV4,2.2,Hybrid,2022,7455,80831,4,10.84,7455,Medium,3563
Toyota,RAV4,1.8,Hybrid,1997,186047,3862,29,0.02,186047,Small,3564
VW,Passat,1.6,Diesel,2013,85279,17631,13,0.21,85279,Small,3565
VW,Passat,1.6,Diesel,2012,59580,19610,14,0.33,59580,Small,3566
VW,Polo,1.0,Petrol,1993,146691,1483,33,0.01,146691,Small,3567
VW,Golf,1.8,Diesel,2003,84770,7731,23,0.09,84770,Small,3568
Toyota,RAV4,1.8,Hybrid,2000,110892,8692,26,0.08,110892,Small,3569
VW,Passat,1.6,Diesel,2013,60586,20827,13,0.34,60586,Small,3570
VW,Passat,1.6,Diesel,2012,83752,16671,14,0.2,83752,Small,3571
Toyota,RAV4,2.2,Hybrid,2019,7694,66097,7,8.59,7694,Medium,3572
Ford,Mondeo,2.0,Diesel,2018,26830,37758,8,1.41,26830,Small,3573
Toyota,RAV4,2.0,Hybrid,1993,185640,3129,33,0.02,185640,Small,3574
Ford,Focus,1.4,Diesel,2008,114763,9100,18,0.08,114763,Small,3575
Ford,Focus,1.6,Petrol,2006,107117,8589,20,0.08,107117,Small,3576
Toyota,RAV4,2.0,Hybrid,1992,225889,2049,34,0.01,225889,Small,3577
Toyota,Yaris,1.4,Hybrid,2002,63382,8010,24,0.13,63382,Small,3578
Toyota,RAV4,1.8,Hybrid,1992,230915,1857,34,0.01,230915,Small,3579
Porsche,718 Cayman,2.0,Petrol,2013,64941,27481,13,0.42,64941,Small,3580
Ford,Fiesta,1.4,Petrol,1993,136701,1853,33,0.01,136701,Small,3581
Ford,Focus,1.8,Diesel,1996,121208,4413,30,0.04,121208,Small,3582
Ford,Mondeo,1.4,Diesel,2005,55851,11151,21,0.2,55851,Small,3583
Toyota,Yaris,1.4,Hybrid,1995,101472,3855,31,0.04,101472,Small,3584
Ford,Mondeo,2.0,Diesel,2007,66238,14238,19,0.21,66238,Small,3585
Ford,Focus,1.4,Petrol,1998,161330,3068,28,0.02,161330,Small,3586
VW,Golf,1.8,Petrol,2014,63409,17716,12,0.28,63409,Small,3587
VW,Passat,2.0,Diesel,2003,100186,9095,23,0.09,100186,Small,3588
Porsche,Cayenne,4.0,Diesel,2015,67214,54388,11,0.81,67214,Large,3589
BMW,Z4,2.2,Petrol,1989,135774,2869,37,0.02,135774,Medium,3590
Porsche,718 Cayman,4.0,Petrol,2007,129513,16323,19,0.13,129513,Large,3591
VW,Polo,1.0,Petrol,1994,142666,1638,32,0.01,142666,Small,3592
Ford,Focus,2.0,Petrol,1998,225361,2098,28,0.01,225361,Small,3593
Ford,Fiesta,1.2,Petrol,2020,14875,23663,6,1.59,14875,Small,3594
VW,Polo,1.6,Petrol,2012,86912,10500,14,0.12,86912,Small,3595
Toyota,Yaris,1.2,Hybrid,1989,17000,4115,37,0.24,17000,Small,3596
Porsche,718 Cayman,2.4,Petrol,1984,322971,483,42,0.0,322971,Medium,3597
BMW,M5,4.0,Petrol,2013,31299,71336,13,2.28,31299,Large,3598
VW,Golf,1.4,Petrol,2003,92172,6162,23,0.07,92172,Small,3599
BMW,M5,4.0,Petrol,1999,188262,8772,27,0.05,188262,Large,3600
BMW,Z4,2.0,Petrol,2016,45400,31420,10,0.69,45400,Small,3601
Porsche,Cayenne,3.0,Petrol,2001,180752,7355,25,0.04,180752,Medium,3602
Ford,Fiesta,1.4,Petrol,2011,46797,11670,15,0.25,46797,Small,3603
Ford,Focus,1.0,Petrol,1995,174926,1893,31,0.01,174926,Small,3604
Ford,Fiesta,1.4,Petrol,2013,43710,13588,13,0.31,43710,Small,3605
Ford,Focus,1.6,Petrol,2012,69915,16670,14,0.24,69915,Small,3606
VW,Polo,1.4,Petrol,2019,26346,23036,7,0.87,26346,Small,3607
Toyota,RAV4,2.0,Petrol,1995,101168,5880,31,0.06,101168,Small,3608
Toyota,Yaris,1.4,Petrol,1998,72678,4806,28,0.07,72678,Small,3609
Ford,Mondeo,2.0,Diesel,1993,199883,1963,33,0.01,199883,Small,3610
VW,Golf,2.0,Diesel,1993,94331,3909,33,0.04,94331,Small,3611
Ford,Focus,2.0,Hybrid,2001,157250,5560,25,0.04,157250,Small,3612
VW,Passat,1.8,Diesel,2002,117669,7082,24,0.06,117669,Small,3613
BMW,X3,2.4,Diesel,1988,136512,3073,38,0.02,136512,Medium,3614
Porsche,718 Cayman,4.0,Petrol,1991,201704,3068,35,0.02,201704,Large,3615
Toyota,Yaris,1.4,Petrol,2001,152378,3223,25,0.02,152378,Small,3616
VW,Polo,2.0,Petrol,1988,338791,262,38,0.0,338791,Small,3617
Toyota,RAV4,2.2,Hybrid,2022,2587,82873,4,32.03,2587,Medium,3618
Ford,Fiesta,1.2,Petrol,1995,186799,1291,31,0.01,186799,Small,3619
Toyota,Yaris,1.2,Hybrid,2018,29741,26494,8,0.89,29741,Small,3620
Porsche,718 Cayman,4.0,Petrol,2006,84406,21357,20,0.25,84406,Large,3621
Toyota,RAV4,2.4,Hybrid,2012,77919,28319,14,0.36,77919,Medium,3622
Toyota,Yaris,1.2,Petrol,2019,29951,23572,7,0.79,29951,Small,3623
Ford,Mondeo,1.6,Petrol,1999,187803,2773,27,0.01,187803,Small,3624
Ford,Mondeo,1.4,Diesel,1998,119620,4461,28,0.04,119620,Small,3625
Ford,Focus,1.4,Diesel,2007,21830,15748,19,0.72,21830,Small,3626
VW,Passat,1.8,Diesel,2011,32227,23008,15,0.71,32227,Small,3627
Toyota,Prius,1.4,Hybrid,1994,140841,3462,32,0.02,140841,Small,3628
BMW,M5,4.0,Petrol,2020,22013,119898,6,5.45,22013,Large,3629
Toyota,Prius,1.0,Hybrid,2014,46400,21813,12,0.47,46400,Small,3630
VW,Passat,1.4,Diesel,2016,37317,27487,10,0.74,37317,Small,3631
Ford,Mondeo,2.0,Diesel,2012,75930,18620,14,0.25,75930,Small,3632
BMW,X3,2.0,Petrol,1999,202037,3201,27,0.02,202037,Small,3633
BMW,M5,4.0,Petrol,1989,127393,7453,37,0.06,127393,Large,3634
VW,Polo,1.6,Petrol,2008,74305,8774,18,0.12,74305,Small,3635
Ford,Focus,1.0,Petrol,1995,153513,2265,31,0.01,153513,Small,3636
VW,Polo,1.6,Petrol,2018,45304,20606,8,0.45,45304,Small,3637
Ford,Focus,2.0,Petrol,1994,209429,1854,32,0.01,209429,Small,3638
Toyota,Prius,1.8,Hybrid,2016,40074,34747,10,0.87,40074,Small,3639
VW,Golf,1.6,Petrol,2018,25526,27467,8,1.08,25526,Small,3640
Porsche,Cayenne,3.0,Petrol,2007,128692,16845,19,0.13,128692,Medium,3641
Ford,Fiesta,1.4,Hybrid,1999,98006,4458,27,0.05,98006,Small,3642
BMW,X3,2.4,Diesel,2006,85221,14996,20,0.18,85221,Medium,3643
Ford,Fiesta,1.0,Petrol,2001,133561,2738,25,0.02,133561,Small,3644
BMW,Z4,2.0,Petrol,2007,48480,16920,19,0.35,48480,Small,3645
BMW,Z4,2.0,Petrol,1990,301244,669,36,0.0,301244,Small,3646
Ford,Focus,1.4,Petrol,2014,61220,18868,12,0.31,61220,Small,3647
Toyota,RAV4,2.2,Hybrid,1989,332382,646,37,0.0,332382,Medium,3648
VW,Golf,2.0,Diesel,2001,195517,2948,25,0.02,195517,Small,3649
BMW,M5,5.0,Petrol,2015,34862,89261,11,2.56,34862,Large,3650
VW,Golf,1.4,Diesel,2009,49831,12818,17,0.26,49831,Small,3651
Toyota,RAV4,2.2,Hybrid,1993,185139,3296,33,0.02,185139,Medium,3652
BMW,M5,4.0,Petrol,1995,122888,11515,31,0.09,122888,Large,3653
VW,Passat,1.8,Diesel,2021,8872,50971,5,5.75,8872,Small,3654
Ford,Mondeo,1.6,Diesel,1987,258897,689,39,0.0,258897,Small,3655
VW,Golf,1.6,Petrol,1993,298203,573,33,0.0,298203,Small,3656
VW,Polo,1.2,Petrol,2004,178408,2596,22,0.01,178408,Small,3657
Ford,Focus,1.6,Petrol,2016,53147,24268,10,0.46,53147,Small,3658
VW,Passat,1.6,Diesel,1998,205511,2464,28,0.01,205511,Small,3659
Porsche,718 Cayman,4.0,Petrol,1994,239106,2676,32,0.01,239106,Large,3660
BMW,X3,2.4,Diesel,1986,184904,1798,40,0.01,184904,Medium,3661
VW,Passat,1.4,Diesel,1997,151355,3426,29,0.02,151355,Small,3662
Porsche,718 Cayman,4.0,Petrol,2013,52083,42210,13,0.81,52083,Large,3663
VW,Polo,1.4,Petrol,2000,191013,1926,26,0.01,191013,Small,3664
VW,Passat,1.4,Diesel,2001,139896,4909,25,0.04,139896,Small,3665
VW,Golf,1.8,Diesel,1994,111331,3498,32,0.03,111331,Small,3666
Ford,Focus,2.0,Petrol,2019,26572,38850,7,1.46,26572,Small,3667
Ford,Mondeo,1.4,Diesel,2011,82462,13933,15,0.17,82462,Small,3668
Ford,Mondeo,1.6,Diesel,2009,86678,12657,17,0.15,86678,Small,3669
VW,Passat,1.6,Petrol,2011,107756,12489,15,0.12,107756,Small,3670
BMW,X3,2.0,Petrol,1999,106551,7007,27,0.07,106551,Small,3671
Ford,Fiesta,1.0,Petrol,2015,60872,11782,11,0.19,60872,Small,3672
Ford,Focus,1.8,Diesel,2007,126661,8808,19,0.07,126661,Small,3673
Toyota,RAV4,2.0,Hybrid,2014,60188,33241,12,0.55,60188,Small,3674
Ford,Mondeo,1.4,Diesel,1998,215520,1995,28,0.01,215520,Small,3675
BMW,M5,5.0,Petrol,2012,50182,66615,14,1.33,50182,Large,3676
Ford,Focus,1.0,Diesel,2021,12616,35582,5,2.82,12616,Small,3677
VW,Golf,1.8,Diesel,2012,76792,14887,14,0.19,76792,Small,3678
Ford,Fiesta,1.0,Petrol,2010,61917,8385,16,0.14,61917,Small,3679
Ford,Focus,1.6,Petrol,2000,120811,5190,26,0.04,120811,Small,3680
VW,Passat,2.0,Petrol,2005,81952,11272,21,0.14,81952,Small,3681
VW,Passat,2.0,Diesel,2004,138869,7226,22,0.05,138869,Small,3682
Porsche,911,2.6,Petrol,2014,64867,59109,12,0.91,64867,Medium,3683
VW,Passat,2.0,Petrol,2009,74235,15517,17,0.21,74235,Small,3684
Toyota,Prius,1.8,Hybrid,2020,20074,50891,6,2.54,20074,Small,3685
Ford,Focus,1.6,Petrol,1995,234975,1407,31,0.01,234975,Small,3686
Ford,Mondeo,2.0,Hybrid,2020,23238,50313,6,2.17,23238,Small,3687
Porsche,911,2.6,Petrol,2018,35700,92549,8,2.59,35700,Medium,3688
Ford,Mondeo,2.0,Diesel,2001,159990,4712,25,0.03,159990,Small,3689
VW,Polo,1.0,Diesel,2000,129951,2840,26,0.02,129951,Small,3690
VW,Golf,1.2,Petrol,1988,127426,1611,38,0.01,127426,Small,3691
Ford,Fiesta,1.2,Petrol,2017,22383,18595,9,0.83,22383,Small,3692
Toyota,Yaris,1.0,Hybrid,2020,28024,27908,6,1.0,28024,Small,3693
BMW,X3,3.0,Petrol,2014,30613,38607,12,1.26,30613,Medium,3694
Ford,Fiesta,1.0,Petrol,2014,48101,11950,12,0.25,48101,Small,3695
VW,Golf,1.2,Diesel,2005,116906,5700,21,0.05,116906,Small,3696
Ford,Focus,1.6,Petrol,1999,185525,2854,27,0.02,185525,Small,3697
Porsche,911,3.5,Petrol,2003,208259,10631,23,0.05,208259,Large,3698
Toyota,RAV4,2.4,Hybrid,1987,248752,1305,39,0.01,248752,Medium,3699
BMW,X3,3.0,Diesel,1996,49584,10898,30,0.22,49584,Medium,3700
VW,Golf,1.4,Petrol,1990,204381,1043,36,0.01,204381,Small,3701
Ford,Focus,2.0,Diesel,2010,64180,17789,16,0.28,64180,Small,3702
Toyota,Yaris,1.2,Hybrid,2000,184014,2565,26,0.01,184014,Small,3703
Ford,Mondeo,1.8,Diesel,2008,120909,9755,18,0.08,120909,Small,3704
Ford,Fiesta,1.0,Petrol,2006,97817,5014,20,0.05,97817,Small,3705
VW,Passat,1.4,Diesel,2003,171038,4338,23,0.03,171038,Small,3706
Ford,Fiesta,1.2,Petrol,2013,56994,11580,13,0.2,56994,Small,3707
Ford,Mondeo,1.4,Diesel,2017,18157,31013,9,1.71,18157,Small,3708
BMW,Z4,2.4,Petrol,2004,75012,12773,22,0.17,75012,Medium,3709
VW,Golf,1.2,Petrol,2007,39177,10555,19,0.27,39177,Small,3710
Toyota,Yaris,1.0,Hybrid,2000,71356,5620,26,0.08,71356,Small,3711
VW,Polo,1.4,Petrol,2009,44859,10607,17,0.24,44859,Small,3712
VW,Polo,1.2,Petrol,2022,8323,28728,4,3.45,8323,Small,3713
BMW,Z4,2.2,Petrol,2009,91452,15220,17,0.17,91452,Medium,3714
Ford,Fiesta,1.4,Petrol,1997,202891,1384,29,0.01,202891,Small,3715
VW,Polo,1.2,Petrol,2019,28507,21067,7,0.74,28507,Small,3716
Toyota,Prius,1.8,Hybrid,2006,117916,10460,20,0.09,117916,Small,3717
Ford,Mondeo,1.6,Diesel,1997,142484,3726,29,0.03,142484,Small,3718
Toyota,Yaris,1.4,Hybrid,1998,148898,3258,28,0.02,148898,Small,3719
Ford,Mondeo,1.8,Hybrid,1995,155411,3557,31,0.02,155411,Small,3720
Ford,Focus,1.0,Diesel,2004,166171,3900,22,0.02,166171,Small,3721
VW,Polo,1.0,Petrol,1998,168223,1732,28,0.01,168223,Small,3722
Toyota,Prius,1.8,Hybrid,1993,143865,3584,33,0.02,143865,Small,3723
Ford,Fiesta,1.2,Petrol,2001,100034,3873,25,0.04,100034,Small,3724
Toyota,Yaris,1.2,Petrol,1997,151666,2298,29,0.02,151666,Small,3725
Porsche,911,3.5,Petrol,1991,258729,3016,35,0.01,258729,Large,3726
VW,Polo,1.2,Petrol,2015,54215,13822,11,0.25,54215,Small,3727
Toyota,RAV4,1.8,Petrol,1993,222344,1788,33,0.01,222344,Small,3728
BMW,X3,2.4,Diesel,2000,133087,7027,26,0.05,133087,Medium,3729
VW,Passat,2.0,Petrol,1990,229192,1244,36,0.01,229192,Small,3730
Ford,Mondeo,1.4,Diesel,1998,194092,2412,28,0.01,194092,Small,3731
VW,Passat,1.8,Diesel,2001,149555,5148,25,0.03,149555,Small,3732
Toyota,RAV4,2.0,Hybrid,1997,108555,7634,29,0.07,108555,Small,3733
BMW,Z4,2.2,Petrol,2012,39840,26103,14,0.66,39840,Medium,3734
Ford,Fiesta,1.2,Petrol,1985,58798,1770,41,0.03,58798,Small,3735
Ford,Mondeo,1.8,Diesel,2017,13479,36064,9,2.68,13479,Small,3736
VW,Polo,1.2,Petrol,2007,114429,5326,19,0.05,114429,Small,3737
Toyota,Prius,1.4,Hybrid,1997,204469,2466,29,0.01,204469,Small,3738
Ford,Mondeo,1.8,Petrol,1989,114982,2739,37,0.02,114982,Small,3739
VW,Golf,1.4,Petrol,2017,46928,21187,9,0.45,46928,Small,3740
Toyota,Prius,1.0,Hybrid,2016,27839,27817,10,1.0,27839,Small,3741
